"id"	"productId"	"image"
"1"	"1"	"image1.jpg"
"2"	"1"	"image2.jpg"
"3"	"1"	"image3.jpg"
"4"	"2"	"image4.jpg"
"5"	"2"	"image5.jpg"
"6"	"3"	"image6.jpg"
"7"	"3"	"image7.jpg"
"8"	"4"	"image8.jpg"
"9"	"4"	"image9.jpg"
"10"	"5"	"image10.jpg"
"11"	"6"	"image11.jpg"
"12"	"7"	"image12.jpg"
"13"	"7"	"image13.jpg"
"14"	"8"	"image14.jpg"
"15"	"8"	"image15.jpg"
"16"	"9"	"image16.jpg"
"17"	"9"	"image17.jpg"
"18"	"10"	"image18.jpg"
"19"	"10"	"image19.jpg"
"20"	"10"	"image20.jpg"
"21"	"1"	"image1.jpg"
"22"	"1"	"image2.jpg"
"23"	"1"	"image3.jpg"
"24"	"2"	"image4.jpg"
"25"	"2"	"image5.jpg"
"26"	"3"	"image6.jpg"
"27"	"3"	"image7.jpg"
"28"	"4"	"image8.jpg"
"29"	"4"	"image9.jpg"
"30"	"5"	"image10.jpg"
"31"	"6"	"image11.jpg"
"32"	"7"	"image12.jpg"
"33"	"7"	"image13.jpg"
"34"	"8"	"image14.jpg"
"35"	"8"	"image15.jpg"
"36"	"9"	"image16.jpg"
"37"	"9"	"image17.jpg"
"38"	"10"	"image18.jpg"
"39"	"10"	"image19.jpg"
"40"	"10"	"image20.jpg"
"41"	"1"	"image1.jpg"
"42"	"1"	"image2.jpg"
"43"	"1"	"image3.jpg"
"44"	"2"	"image4.jpg"
"45"	"2"	"image5.jpg"
"46"	"3"	"image6.jpg"
"47"	"3"	"image7.jpg"
"48"	"4"	"image8.jpg"
"49"	"4"	"image9.jpg"
"50"	"5"	"image10.jpg"
"51"	"6"	"image11.jpg"
"52"	"7"	"image12.jpg"
"53"	"7"	"image13.jpg"
"54"	"8"	"image14.jpg"
"55"	"8"	"image15.jpg"
"56"	"9"	"image16.jpg"
"57"	"9"	"image17.jpg"
"58"	"10"	"image18.jpg"
"59"	"10"	"image19.jpg"
"60"	"10"	"image20.jpg"
"61"	"1"	"image1.jpg"
"62"	"1"	"image2.jpg"
"63"	"1"	"image3.jpg"
"64"	"2"	"image4.jpg"
"65"	"2"	"image5.jpg"
"66"	"3"	"image6.jpg"
"67"	"3"	"image7.jpg"
"68"	"4"	"image8.jpg"
"69"	"4"	"image9.jpg"
"70"	"5"	"image10.jpg"
"71"	"6"	"image11.jpg"
"72"	"7"	"image12.jpg"
"73"	"7"	"image13.jpg"
"74"	"8"	"image14.jpg"
"75"	"8"	"image15.jpg"
"76"	"9"	"image16.jpg"
"77"	"9"	"image17.jpg"
"78"	"10"	"image18.jpg"
"79"	"10"	"image19.jpg"
"80"	"10"	"image20.jpg"
"81"	"1"	"image1.jpg"
"82"	"1"	"image2.jpg"
"83"	"1"	"image3.jpg"
"84"	"2"	"image4.jpg"
"85"	"2"	"image5.jpg"
"86"	"3"	"image6.jpg"
"87"	"3"	"image7.jpg"
"88"	"4"	"image8.jpg"
"89"	"4"	"image9.jpg"
"90"	"5"	"image10.jpg"
"91"	"6"	"image11.jpg"
"92"	"7"	"image12.jpg"
"93"	"7"	"image13.jpg"
"94"	"8"	"image14.jpg"
"95"	"8"	"image15.jpg"
"96"	"9"	"image16.jpg"
"97"	"9"	"image17.jpg"
"98"	"10"	"image18.jpg"
"99"	"10"	"image19.jpg"
"100"	"10"	"image20.jpg"
